1girl,1人の女の子
cum_while_penetrated,挿入中に射精
trick_or_treat,トリック・オア・トリート
holding_panties,パンティーを握る
spacesuit,宇宙服
orange_necktie,オレンジネクタイ
final_fantasy_iv,ファイナルファンタジーIV
red_swimsuit,赤い水着
russian_text,ロシア語テキスト
ear_covers,耳カバー
toothbrush,歯ブラシ
hand_on_another's_chest,他人の胸に手を当てる
takanashi_rikka,takanashi_rikka
cloud_strife,クラウド・ストライフ
shana,シャナ
screaming,叫ぶ
profanity,冒涜
ikamusume,イカ娘
sunrise,日の出
akaza_akari,あかざあかり
bloom,咲く
tsukudani_(coke-buta),佃煮（コーラ豚）
public_nudity,公然わいせつ
tam_o'_shanter,タム・オ・シャンター
diffraction_spikes,回折スパイク
humanization,人間化
bit_gag,ビットギャグ
oozora_subaru,おおぞら_すばる
the_legend_of_zelda:_ocarina_of_time,ゼルダの伝説 時のオカリナ
junketsu,純烈
ia_(vocaloid),ia_(ボーカロイド)
i-8_(kancolle),i-8_(艦これ)
three-dimensional_maneuver_gear,三次元操縦装置
haguro_(kancolle),羽黒（艦これ）
perrine_h._clostermann,ペリーヌ・H・クロステルマン
convenient_arm,便利なアーム
louise_francoise_le_blanc_de_la_valliere,ルイーズ・フランソワーズ・ル・ブラン・ド・ラ・ヴァリエール
grey_panties,グレーのパンティー
winged_arms,翼のある腕
kaenbyou_rin_(cat),かえんびょうりん(猫)
multicolored_jacket,マルチカラージャケット
katsushika_hokusai_(fate),葛飾北斎(fate)
embers,残り火
bad_hands,悪い手
vocaloid_append,ボーカロイド追加
prosthetic_arm,義手
yukine_chris,ゆきねクリス
shark,サメ
akuma_homura,悪魔ほむら
final_fantasy_ix,ファイナルファンタジーIX
arm_held_back,腕を後ろに引く
green_choker,緑のチョーカー
st._gloriana's_military_uniform,聖グロリアナの軍服
cyclops,サイクロプス
hanekawa_tsubasa,羽川翼
burn_scar,火傷跡
holding_axe,斧を持つ
wrestling_outfit,レスリング衣装
cat_boy,猫の男の子
bird_on_head,頭上の鳥
retrofit_(azur_lane),レトロフィット(アズールレーン)
grey_sailor_collar,グレーのセーラーカラー
reverse_suspended_congress,議会停止の逆行
hatsuzuki_(kancolle),初月_(艦これ)
male_masturbation,男性の自慰行為
deep_penetration,深い浸透
breast_bondage,乳房緊縛
naga_u,ナガウ
arm_around_neck,首に巻く腕
t-head_admiral,t-head_admiral
takao_(azur_lane),takao_(アズールレーン)
aria,アリア
owl,フクロウ
yorigami_shion,よりがみしおん
roman_numeral,ローマ数字
avatar_(ff11),アバター_(ff11)
disembodied_head,頭部分離
akizuki_(kancolle),秋月（艦これ）
orange_footwear,オレンジの履物
bangs_pinned_back,前髪を後ろにピンで留める
diadem,王冠
fine_art_parody,美術パロディ
club_(weapon),クラブ_(武器)
strap_between_breasts,胸の間にストラップ
youkai_watch,妖怪ウォッチ
bomber_jacket,ボンバージャケット
white_vest,白いベスト
suit_jacket,スーツジャケット
satchel,サッチェル
patterned_background,パターン化された背景
mismatched_footwear,靴が合わない
jun'you_(kancolle),jun'you_(艦これ)
gown,ガウン
reverse_outfit,逆衣装
blunt_ends,鈍い端
scissor_blade,はさみの刃
mejiro_mcqueen_(umamusume),メジロマックイーン(ウマ娘)
grabbing_own_breast,自分の胸を掴む
yahagi_(kancolle),yahagi_(艦これ)
bandaged_hand,包帯を巻いた手
au_ra,オーラ
walk-in,ウォークイン
dark_magician_girl,ダークマジシャンガール
eraser,消しゴム
lower_teeth,下の歯
chitanda_eru,ちたんだーる
aoki_hagane_no_arpeggio,蒼き鋼のアルペジオ
d-pad_hair_ornament,dパッドの髪飾り
cameo,カメオ
diagonal-striped_bow,斜めストライプのリボン
arm_hair,腕毛
kisaragi_(kancolle),kisaragi_(艦これ)
no_eyewear,眼鏡なし
rubbing_eyes,目をこする
mochi_au_lait,餅オーレ
body_markings,ボディマーキング
electric_fan,扇風機
lynette_bishop,リネット・ビショップ
doorway,戸口
smiley_face,スマイリーフェイス
hammer_and_sickle,ハンマーと鎌
short_sword,短剣
wide_spread_legs,大きく脚を広げた
hand_on_another's_hip,他人の腰に手を添える
murasaki_shion,むらさきしおん
split_mouth,口を割る
seashell,貝殻
hunter_x_hunter,ハンター×ハンター
trash_can,ごみ箱
ikkitousen,一騎当千
broken_glass,割れたガラス
domino_mask,ドミノマスク
steam_censor,蒸気検閲
pillarboxed,ピラーボックス
uchiha_sasuke,うちはサスケ
nonna_(girls_und_panzer),ノンナ（ガールズ＆パンツァー）
lifting_person,持ち上げる人
dragon's_crown,ドラゴンの王冠
leotard_aside,レオタード脇
jet,ジェット
power_symbol,パワーシンボル
drawfag,ドローファグ
mini-hakkero,ミニハッケロ
ch'en_(arknights),ch'en_(アークナイツ)
tennis_uniform,テニスユニフォーム
suiseiseki,翠星石
scar_on_chest,胸の傷跡
yukihana_lamy,ゆきはな_lamy
hamu_koutarou,はむ_こうたろう
kyuubi,キュウビ
chef_hat,シェフの帽子
nakano_nino,中野ニノ
hololive_indonesia,ホロライブインドネシア
super_saiyan,スーパーサイヤ人
single_detached_sleeve,シングルデタッチドスリーブ
senjougahara_hitagi,戦場ヶ原ひたぎ
mismatched_gloves,手袋が合わない
dusk,夕暮れ
town,町
kujikawa_rise,kujikawa_rise
open_skirt,オープンスカート
ise_(kancolle),伊勢（艦これ）
ryougi_shiki,ryogi_seki
wa_maid,わメイド
azumanga_daioh,あずまんが大王
qing_guanmao,チングアンマオ
christa_renz,クリスタ・レンツ
fire_emblem:_genealogy_of_the_holy_war,ファイアーエムブレム：聖戦の系譜
bow_bikini,ボウビキニ
blue_capelet,青いケープレット
shinki_(touhou),神姫(東方)
chest_harness,チェストハーネス
orange_nails,オレンジネイル
leg_lock,レッグロック
purple_choker,紫色のチョーカー
straight-on,まっすぐに
cave,洞窟
vehicle_focus,車両フォーカス
two-sided_fabric,両面生地
desert,砂漠
feather_trim,羽毛トリム
pink-framed_eyewear,ピンクフレームのアイウェア
amamiya_ren,雨宮蓮
honda_mio,ホンダミオ
holding_scythe,鎌を持つ
bb_(baalbuddy),bb_(バアルバディ)
footwear_bow,履物用弓
standing_on_liquid,液体の上に立っている
cliff,崖
veranda,ベランダ
asphyxiation,窒息
when_you_see_it,それを見たとき
in_bucket,バケット内
dyed_bangs,染めた前髪
nakano_miku,中野ミク
shower_head,シャワーヘッド
vibrator_under_clothes,衣服の下に装着するバイブレーター
irisviel_von_einzbern,アイリスフィール・フォン・アインツベルン
ethan_(pokemon),イーサン（ポケモン）
crossed_ankles,足首を交差させる
aerith_gainsborough,エアリス・ゲインズボロー
snot,鼻水
undersized_clothes,アンダーサイズの服
nape,うなじ
mohawk,モヒカン
ribbed_shirt,リブシャツ
idolmaster_2,アイドルマスター2
paw_shoes,足の靴
barbara_(genshin_impact),バーバラ（原神）
budget_sarashi,予算さらし
suspension,サスペンション
samurai,武士
kagari_atsuko,かがりあつこ
sleeping_upright,直立寝
blue_oak,ブルーオーク
shimakaze_(kancolle)_(cosplay),島風_(艦これ)_(コスプレ)
checkered_scarf,チェック柄スカーフ
clip_studio_paint_(medium),クリップスタジオペイント(中)
atelier_ryza,アトリエ・ライザ
saten_ruiko,saten_ruiko
bowl_hat,ボウルハット
spatula,ヘラ
bra_peek,ブラジャーのピーク
microdress,マイクロドレス
plastic_bag,ビニール袋
:i,：私
quill,羽根ペン
torch,トーチ
napoleon_bonaparte_(fate),ナポレオン・ボナパルト(fate)
horned_headwear,角のある帽子
coattails,コートテール
dynamax_band,ダイナマックスバンド
matsuura_kanan,matsuura_kanan
irrumatio,イラマチオ
hand_on_hilt,柄に手を添える
shared_umbrella,共有傘
minami_(colorful_palette),minami_(カラフルパレット)
kitauji_high_school_uniform,北宇治高校の制服
starter_pokemon_trio,スターターポケモントリオ
racket,ラケット
avogado6,アボガド6
flask,フラスコ
shibari_over_clothes,衣服の上から縛る
green_hairband,緑のヘアバンド
gangut_(kancolle),ガングート（艦これ）
natsuiro_matsuri,夏色祭り
galaxy_angel,銀河の天使
enterprise_(azur_lane),エンタープライズ(アズールレーン)
warship,軍艦
ankle_lace-up,アンクルレースアップ
nero_claudius_(swimsuit_caster)_(fate),nero_claudius_(水着キャスター)_(Fate)
grinding,研削
trumpet,トランペット
naked_sheet,裸のシート
;3,;3
fur_coat,毛皮のコート
tokoyami_towa,tokoyami_towa
mizuki_makoto,みずき_まこと
sonozaki_mion,sonozaki_mion
i-168_(kancolle),i-168_(艦これ)
locker_room,ロッカールーム
suspender_shorts,サスペンダーショーツ
rocket_launcher,ロケットランチャー
flower_pot,植木鉢
jakuzure_nonon,jakuzure_nonon
midoriya_izuku,みどりやいずく
laffey_(azur_lane),ラフィー(アズールレーン)
koizumi_itsuki,koizumi_itsuki
reverse_bunnysuit,リバースバニースーツ
aldnoah.zero,アルドノア・ゼロ
police_hat,警察の帽子
pokemon_masters_ex,ポケモンマスターズEX
tsuda_nanafushi,tsuda_nanafushi
alternate_universe,代替宇宙
crossed_bandaids,交差した絆創膏
hassan_of_serenity_(fate),hassan_of_serenity_(fate)
kou_hiyoyo,こうひよよ
feather-trimmed_sleeves,羽根飾りの袖
snowflake_print,スノーフレークプリント
lifted_by_another,他の人に持ち上げられた
festival,祭り
yang_xiao_long,yang_xiao_long
kurosawa_dia,kurosawa_dia
after_fellatio,フェラチオ後
ear_bow,耳の弓
puckered_lips,すぼめた唇
film_grain,フィルムグレイン
spade_(shape),スペード_(形状)
wire,ワイヤー
creature_and_personification,生き物と擬人化
katsuki_yuuri,katsuki_yuuri
carpet,カーペット
calendar_(object),カレンダー_(オブジェクト)
sweet_potato,サツマイモ
symmetry,対称
tamamo_cat_(fate),たまも猫(fate)
open_shorts,オープンショーツ
monkey_tail,猿のしっぽ
dreaming,夢
carrying_over_shoulder,肩に担いで運ぶ
driving,運転
love_plus,ラブプラス
kamikaze_(kancolle),神風_(艦これ)
drawing_tablet,描画タブレット
pokemon_gsc,ポケモンGSC
penis_awe,ペニスの畏敬
hilbert_(pokemon),ヒルベルト（ポケモン）
stirrup_legwear,あぶみ脚装備
octarian,八国主義
labia,陰唇
persona_3_portable,ペルソナ3ポータブル
false_smile,偽りの笑顔
jeanne_d'arc_(alter_swimsuit_berserker)_(fate),ジャンヌ・ダルク（水着バーサーカー）（fate）
egg_(food),卵_(食べ物)
oni_mask,鬼マスク
shako_cap,シャコ帽
sakamoto_mio,さかもとみお
noumi_kudryavka,ノウミ・クドリャフカ
shirt_removed,シャツを削除しました
falling_petals,落ちる花びら
nintendo,任天堂
sweater_around_waist,ウエスト周りのセーター
saki_achiga-hen,咲-阿知賀編
vivio,ヴィヴィオ
prayer_beads,祈りのビーズ
butterfly_print,蝶のプリント
spotlight,スポットライト
spiked_armlet,スパイクアームレット
senran_kagura_shoujo-tachi_no_shin'ei,閃乱カグラ_少女たちの神映
horseshoe_ornament,馬蹄飾り
white_feathers,白い羽
coffee_cup,コーヒーカップ
devil_may_cry_(series),デビルメイクライ(シリーズ)
vita,ヴィータ
god_eater,ゴッドイーター
ankle_cuffs,足首カフス
breast_curtains,胸のカーテン
praying,祈る
yuzuriha_inori,yuzuriha_inori
squid,イカ
shishiro_botan,shihiro_botan
mismatched_bikini,ミスマッチなビキニ
obijime,帯締め
panty_(psg),パンティ_(PSG)
puyopuyo,ぷよぷよ
sitting_on_face,顔に座る
setsubun,節分
shading_eyes,シェーディングアイズ
akeome,アケオメ
kappougi,割烹着
eren_yeager,エレン・イェーガー
string_of_flags,フラグの文字列
fleeing,逃げる
impossible_leotard,不可能なレオタード
kunikida_hanamaru,kunikida_hanamaru
bardiche,バルディッシュ
cat_hat,猫の帽子
orange_gloves,オレンジの手袋
kyoukaisenjou_no_horizon,境界線上のホライゾン
yowane_haku,弱音ハク
nakiri_ayame,ナキリ・アヤメ
pulling,引っ張る
beamed_sixteenth_notes,ビームされた16分音符
viktor_nikiforov,ヴィクトル・ニキフォロフ
oda_nobunaga_(koha/ace),織田信永_(コハ/エース)
strapless_bra,ストラップレスブラ
fur-trimmed_hood,ファートリムフード
air,空気
sheep_girl,羊の女の子
hair_spread_out,髪を広げる
sketchbook,スケッチブック
makima_(chainsaw_man),マキマ（チェーンソーマン）
triangle,三角形
houtengeki,方天戟
single_sock,シングルソックス
mouse_(computer),マウス_(コンピュータ)
wrestling,レスリング
ribbon-trimmed_clothes,リボントリムの服
bad_proportions,悪い比率
shouji,障子
shuriken,手裏剣
dessert,デザート
circle_cut,サークルカット
hands_on_own_head,自分の頭に手を置く
beach_towel,ビーチタオル
holding_pipe,ホールディングパイプ
spear_the_gungnir,槍のガングニル
orange_pekoe_(girls_und_panzer),オレンジペコ(ガールズ&パンツァー)
two-tone_skirt,ツートンスカート
mitsudomoe_(shape),みつどもえ_(形)
final_fantasy_v,ファイナルファンタジーV
product_placement,商品の配置
mole_on_thigh,太もものほくろ
heart_in_eye,ハートインアイ
hand_on_another's_arm,他人の腕に手を置く
team_rocket,ロケット団
restaurant,レストラン
head_bump,頭をぶつける
brown_ribbon,茶色のリボン
red_sleeves,赤い袖
gambier_bay_(kancolle),gambier_bay_(艦これ)
strangling,絞殺
spilling,こぼれる
blue_lips,青い唇
hands_on_lap,膝の上の手
lappland_(arknights),ラップランド_(アークナイツ)
flip-flops,ビーチサンダル
kanzashi,かんざし
scratches,傷
smelling,匂いを嗅ぐ
takara_miyuki,takara_みゆき
shimazaki_mujirushi,shimazaki_mjirushi
exusiai_(arknights),exusiai_(アークナイツ)
union_jack,ユニオンジャック
chart,チャート
purple_wings,紫の翼
boris_(noborhys),boris_(ノボリス)
shokuhou_misaki,しょくほう_みさき
eyepatch_bikini,眼帯ビキニ
deepthroat,ディープスロート
ice_cube,アイスキューブ
jackal_ears,ジャッカルの耳
column_lineup,列の並び
tamamo_no_mae_(swimsuit_lancer)_(fate),タマモ_ノ_マエ_(水着_ランサー)_(fate)
nachi_(kancolle),nachi_(艦これ)
shared_food,共有食品
turtle,カメ
ujimatsu_chiya,ujimatsu_chiya
fingers,指
arms_under_breasts,胸の下の腕
tales_of_graces,テイルズ・オブ・グレイセス
index_(toaru_majutsu_no_index),Index_(とある魔術のインデックス)
single_leg_pantyhose,片足パンスト
hoshimachi_suisei,hoshimachi_suisei
hairy,毛深い
dragon_quest_iv,ドラゴンクエストIV
tokai_teio_(umamusume),トカイテイオ（ウマ娘）
johnny_joestar,ジョニー・ジョースター
green_lips,緑の唇
daiwa_scarlet_(umamusume),daiwa_scarlet_(ウマ娘)
chloe_von_einzbern,クロエ・フォン・アインツベルン
>_o,>_o
voyakiloid,ボヤキロイド
green_coat,グリーンコート
prehensile_hair,掴む髪
wooden_bucket,木製バケツ
striped_jacket,ストライプジャケット
capcom,カプコン
red_umbrella,赤い傘
koyama_shigeru,koyama_shigeru
utawarerumono,うたわれるもの
grey_coat,グレーコート
breath_of_fire,ブレスオブファイア
green_sweater,緑のセーター
phone_screen,電話画面
enpera,エンペラ
kirino_ranmaru,きりのらんまる
taiyaki,たい焼き
kannagi,かんなぎ
melting,溶融
poptepipic,ポプテピピック
fire_emblem_cipher,ファイアーエムブレムサイファー
broken_horn,壊れた角
shiseki_hirame,shiseki_hirame
:x,:x
miyuki_(kancolle),深雪_(艦これ)
light_bulb,電球
if_they_mated,もし彼らが交尾したら
covered_abs,覆われた腹筋
ump9_(girls'_frontline),ump9_(ガールズフロントライン)
talons,爪
jean_(genshin_impact),ジン（原神）
lion,ライオン
denim_skirt,デニムスカート
church,教会
afro,アフロ
hands_on_headwear,帽子をかぶる
two-tone_bowtie,ツートンカラーの蝶ネクタイ
ear_ribbon,耳のリボン
beak,嘴
sink,シンク
fur-trimmed_legwear,ファートリムのレッグウェア
tedeza_rize,てでざりぜ
purple_sleeves,紫の袖
shoebill_(kemono_friends),シュービル（けものフレンズ）
forked_eyebrows,二股の眉毛
pola_(kancolle),pola_(艦これ)
chainsaw,チェーンソー
caught,つかまった
ha_akabouzu,はあかぼうず
manga_(object),manga_(オブジェクト)
-9,-9
boxing_gloves,ボクシンググローブ
horseback_riding,乗馬
last_order_(toaru_majutsu_no_index),last_order_(とある魔術のインデックス)
plaid_bikini,チェック柄ビキニ
naked_coat,裸のコート
signum,シグナム
turban,ターバン
pangya,パンヤ
diamond_(symbol),diamond_(シンボル)
bb_(fate/extra),bb_(fate/エクストラ)
han_juri,ハン・ジュリ
cyberpunk,サイバーパンク
elizabeth_bathory_(fate/extra_ccc),エリザベス・バソリー(fate/エクストラccc)
lace-trimmed_dress,レーストリムのドレス
tanuki,タヌキ
hanamura_yousuke,はなむらようすけ
wreath,花輪
high_contrast,高コントラスト
baseball,野球
akai_haato,akai_haato
ribbed_legwear,リブ編みのレッグウェア
pocky_day,ポッキーの日
kenzaki_makoto,kenzaki_makoto
shuuchiin_academy_uniform,修内院アカデミーの制服
black_scrunchie,ブラックシュシュ
nervous_smile,緊張した笑顔
spread_wings,翼を広げる
disney,ディズニー
shiranui_flare,不知火フレア
wife_and_wife,妻と妻
neptune_(neptune_series),ネプチューン_(ネプチューンシリーズ)
kabedon,壁ドン
nagatsuki_(kancolle),長月_(艦これ)
fou_(fate),fou_(fate)
akagi_(azur_lane),赤城（アズールレーン）
oversized_animal,特大動物
hanasaki_tsubomi,花咲つぼみ
kirigiri_kyouko,きりぎり_きょうこ
ishiyumi,いしゆみ
ixy,イクシー
tripping,つまずく
dirty_face,汚い顔
furry_with_non-furry,毛皮と非毛皮
aegis_(persona),aegis_(ペルソナ)
atlanta_(kancolle),アトランタ（艦これ）
single_vertical_stripe,シングル縦縞
matou_kariya,matou_kariya
arch,アーチ
jellyfish,クラゲ
moss,苔
tachibana_arisu,たちばなありす
matching_outfit,マッチング衣装
sakuragaoka_high_school_uniform,桜丘高校の制服
grimace,しかめっ面
cum_on_boy,男に射精
tally,集計
holding_sign,サイン保持
sweatband,汗止めバンド
abstract_background,抽象的な背景
tama_(kancolle),たま_(艦これ)
enoshima_junko,enoshima_junko
fischl_(genshin_impact),フィッシュル(原神)
whale,鯨
p-head_producer,p-head_producer
copyright,著作権
clothed_animal,服を着た動物
side_cutout,サイドカットアウト
scepter,笏
mechanical_parts,機械部品
mop,モップ
green_scarf,緑のスカーフ
earclip,イヤークリップ
attack,攻撃
gate,ゲート
maru-yu_(kancolle),maru-yu_(艦これ)
hisona_(suaritesumi),hisona_(すありてすみ)
shiomi_kotone,shiomi_kotone
soul_eater,ソウルイーター
spread_fingers,指を広げる
katsuragi_(kancolle),葛城_(艦これ)
polka_dot_bra,水玉ブラ
amagi_brilliant_park,天城ブリリアントパーク
belly_chain,ベリーチェーン
clitoral_stimulation,クリトリス刺激
turnaround,振り向く
lion_girl,ライオンガール
kamado_nezuko,かまどねずこ
spoken_anger_vein,怒りの脈
large_tail,大きな尾
anastasia_(fate),アナスタシア_(fate)
free!,無料！
yuugumo_(kancolle),yuugumo_(艦これ)
milk_bottle,ミルクボトル
hairlocs,ヘアロックス
screencap_redraw,スクリーンキャプチャの再描画
shadowverse,シャドウバース
drill,ドリル
mabinogi,マビノギ
yu-gi-oh!_gx,遊戯王！
mima_(touhou),mima_(東方)
ankle_socks,アンクルソックス
hair_tie_in_mouth,口に髪を結ぶ
potato_chips,ポテトチップス
french_fries,フライドポテト
kiana_kaslana,キアナ・カスラナ
saber_lily,セイバーリリー
tsunako,つなこ
covering_nipples,乳首を覆う
mega_pokemon,メガポケモン
glowstick,グロースティック
evening_gown,イブニングガウン
sakura_miku,さくらみく
minamino_kanade,南野奏
pepperoni_(girls_und_panzer),ペパロニ（ガールズ＆パンツァー）
still_life,静物画
comb,櫛
wind_chime,風鈴
macross_delta,マクロスデルタ
dixie_cup_hat,ディキシーカップハット
kaga_(azur_lane),加賀（アズールレーン）
sitting_on_desk,机に座っている
kurosawa_ruby,kurosawa_ruby
frilled_kimono,フリル着物
chihuri,チフリ
drawr,ドロー
piplup,ポッチャマ
nengajou,年賀状
skewer,串
meitantei_conan,名探偵コナン
between_thighs,太ももの間
heart_hands_duo,ハート_ハンズ_デュオ
energy_ball,エネルギーボール
rabbit_house_uniform,ウサギ小屋の制服
reisalin_stout,ライザリン・スタウト
number_tattoo,数字のタトゥー
egyptian_clothes,エジプトの服
cheek_pinching,頬をつねる
sideless_outfit,サイドレス衣装
nanashi_(nlo),nanashi_(nlo)
holding_arrow,矢印を保持する
stage_lights,ステージライト
liquid,液体
otonashi_kotori,音無ことり
crepe,クレープ
2014,2014
korean_clothes,韓国の服
overlord_(maruyama),オーバーロード_(丸山)
yuureidoushi_(yuurei6214),ゆうれいどうし_(yuurei6214)
impossible_bodysuit,不可能なボディスーツ
gegege_no_kitarou,ゲゲゲの鬼太郎
puchimasu!,ぷちます！
spitting,唾を吐く
melonbooks,メロンブックス
female_pov,女性視点
evolutionary_line,進化系統
aqua_bikini,アクアビキニ
windsock,吹き流し
failure,失敗
in_food,食品中
holding_flag,ホールディングフラグ
producer_(idolmaster_cinderella_girls_anime),プロデューサー（アイドルマスターシンデレラガールズアニメ）
lawson,ローソン
doki_doki_literature_club,ドキドキ文学クラブ
surfboard,サーフボード
kuromorimine_school_uniform,黒森峰の制服
thigh_ribbon,太ももリボン
milkpanda,ミルクパンダ
matsunaga_kouyou,matsunaga_koyou
spider_girl,スパイダーガール
black_ascot,ブラックアスコット
constellation,星座
dust,ほこり
miyamoto_frederica,宮本フレデリカ
lyra_(pokemon),ライラ（ポケモン）
shoulder_spikes,ショルダースパイク
shikinami_(kancolle),式波_(艦これ)
gusset,マチ
mouth_drool,口のよだれ
nose_bubble,鼻の泡
matsuno_karamatsu,matsuno_karamatsu
kerchief,ハンカチ
weibo_username,weiboユーザー名
boxers,ボクサー
beni_shake,紅シェイク
toast,トースト
tribadism,三面性
final_fantasy_x,ファイナルファンタジーX
makoto_nanaya,makoto_nanaya
you're_doing_it_wrong,あなたは間違っている
lana_(pokemon),ラナ（ポケモン）
black_rose,ブラックローズ
tonda,トンダ
street_fighter_zero_(series),ストリートファイターゼロ(シリーズ)
blood_stain,血痕
nude_filter,ヌードフィルター
single_hair_intake,シングルヘアインテーク
dress_bow,ドレスボウ
confession,告白
aqua_skirt,アクアスカート
charizard,リザードン
enkyo_yuuichirou,enkyo_ゆういちろう
torn_cape,破れたケープ
vial,バイアル
monkey,猿
tachi-e,立絵
pointer,ポインタ
matsuno_osomatsu,matsuno_osomatsu
shinjou_akane,shinjou_akane
barrel,バレル
harem,ハーレム
choukai_(kancolle),ちょうかい(艦これ)
ibaraki_douji_(fate),茨木童子(Fate)
cockpit,コックピット
drawer,引き出し
tomose_shunsaku,トモセシュンサク
ohtsuki_yui,おおつき_ゆい
red_sky,赤い空
crotchless_panties,クロッチレスパンティー
clothed_pokemon,服を着たポケモン
light_green_hair,薄緑色の髪
tailcoat,燕尾服
anus_peek,肛門を覗く
matsuno_jyushimatsu,matsuno_jyushimatsu
stomach_tattoo,お腹のタトゥー
photo-referenced,写真参照
blake_belladonna,ブレイク・ベラドンナ
kill_me_baby,キルミーベイビー
pocky_kiss,ポッキーキス
dominatrix,支配者
yume_nikki,ゆめにっき
hairdressing,美容師
koihime_musou,恋姫無双
wedding_ring,結婚指輪
tokkuri,徳利
checkered_kimono,チェック柄着物
blue_cardigan,青いカーディガン
noel_vermillion,ノエル・ヴァーミリオン
clothes_hanger,洋服ハンガー
nero_claudius_(bride)_(fate),nero_claudius_(花嫁)_(fate)
crease,折り目
hand_on_another's_back,他人の背中に手を置く
kanna_kamui,カンナカムイ
tokyo_7th_sisters,東京セブンスシスターズ
off-shoulder_kimono,オフショルダー着物
gatling_gun,ガトリングガン
cube,キューブ
to_love-ru_darkness,to loveる-とらぶる-ダークネス
watering_can,じょうろ
star_wars,スターウォーズ
kizuna_akari,絆_あかり
bandaid_on_pussy,包帯を巻いた猫
tail_bell,テールベル
freediving,フリーダイビング
pale_color,淡い色
juice_box,ジュースボックス
scar_on_nose,鼻の傷跡
matsuno_ichimatsu,matsuno_ichimatsu
gold_ship_(umamusume),gold_ship_(ウマ娘)
cum_on_stomach,お腹に射精
magi_the_labyrinth_of_magic,マギの魔法の迷宮
gran_(granblue_fantasy),グランブルーファンタジー
surprise_kiss,サプライズキス
higuchi_madoka,ひぐちまどか
squirrel,リス
minecraft,マインクラフト
cervix,頸部
cowboy_western,カウボーイウエスタン
asuna_(blue_archive),アスナ_(ブルーアーカイブ)
suzukaze_(kancolle),涼風_(艦これ)
yu_mei-ren_(fate),ユウメイレン_(fate)
pink_sleeves,ピンクの袖
clothes_down,服を脱ぐ
bb_(swimsuit_mooncancer)_(fate),bb_(水着_月がん)_(fate)
mattaku_mousuke,mattaku_mouuke
holding_sheath,保持鞘
nijisanji_en,nijisanji_jp
lucky_beast_(kemono_friends),ラッキービースト(けものフレンズ)
frozen_(disney),アナと雪の女王（ディズニー）
hanyuu,羽入
subtitled,字幕付き
nyantype,ニャンタイプ
fried_egg,目玉焼き
identity_censor,アイデンティティ検閲
cosplay_photo,コスプレ写真
kuroshio_(kancolle),黒潮_(艦これ)
obiage,帯揚げ
board_game,ボードゲーム
black_headband,黒いヘッドバンド
ear_tag,耳タグ
rappa_(rappaya),ラッパ_(ラッパヤ)
cheek_poking,頬を突く
multicolored_bodysuit,マルチカラーのボディスーツ
seiken_densetsu_3,聖剣伝説_3
tsukino_mito,ツキノミト
pipes,パイプ
bloodborne,血液感染
mallow_(pokemon),マオウ（ポケモン）
octoling,オクトリング
raccoon_girl,アライグマの女の子
alarm_clock,目覚まし時計
sayori_(neko_works),さより(neko_works)
wet_swimsuit,濡れた水着
black_lagoon,ブラックラグーン
moroboshi_kirari,諸星キラリ
borrowed_garments,借りた衣服
taisa_(kari),taisa_(かり)
graffiti,落書き
suzumiya_haruhi_no_shoushitsu,涼宮ハルヒの庄室
blue_blouse,青いブラウス
i-class_destroyer,i級駆逐艦
bomb,爆弾
pageratta,パゲラッタ
white_nails,白い爪
my-hime,マイ姫
bolt_action,ボルトアクション
crescent_facial_mark,三日月形の顔のマーク
two-tone_fur,ツートンファー
pulled_by_another,他の人に引っ張られた
purple_cape,紫色のケープ
andou_(girls_und_panzer),あんどう（ガールズ＆パンツァー）
white_robe,白衣
two-footed_footjob,両足の足コキ
circle_name,サークル名
shirayuki_(kancolle),白雪_(艦これ)
heart_tattoo,ハートタトゥー
anal_fingering,アナルフィンガーリング
pearl_(gemstone),真珠（宝石）
springfield_(girls'_frontline),スプリングフィールド（ガールズフロントライン）
??,??
single_sidelock,シングルサイドロック
magatama_earrings,勾玉イヤリング
gamagoori_ira,gamagoori_ira
mikazuki_munechika,mikazuki_munenaka
cat_print,猫プリント
ushiromiya_ange,ushiromiya_ange
white_cat,白猫
whisk,泡立て器
sendai_hakurei_no_miko,sendai_hakurei_no_miko
black_cardigan,黒のカーディガン
sakata_gintoki,坂田_銀時
tatsumaki,たつまき
hirasawa_ui,hirasawa_ui
black_apron,黒いエプロン
multiple_belts,複数のベルト
train_station,駅
miyu_edelfelt,miyu_edelfelt
touhou_tag_dream,東方タグ夢
yayoi_(kancolle),yayoi_(艦これ)
scarlet_devil_mansion,スカーレット・デビル・マンション
mimura_kanako,ミムラカナコ
bandaged_head,包帯を巻いた頭
twitching_penis,ペニスの痙攣
kid_icarus,キッドイカロス
under_table,テーブルの下
horizontal_pupils,水平瞳孔
volleyball_uniform,バレーボールユニフォーム
arabian_clothes,アラビアの服
phantom_blood,ファントムブラッド
soap,石鹸
dark_souls_i,ダークソウル
lyn_(fire_emblem),lyn_(ファイアーエムブレム)
muvluv_alternative,マブラヴ・オルタナティブ
funami_yui,funami_yui
remote_control_vibrator,リモコンバイブレーター
souseiseki,蒼星石
railroad_tracks,鉄道線路
happy_tears,幸せな涙
red_belt,レッドベルト
spoken_sweatdrop,スポークン・スウェットドロップ
fishing,釣り
